timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2026-04-21T01:47:07,yahoo-a1-vgru-strb,f69ffe1a-3c5b-4d7d-8c5c-dd48963a6dfc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,48.92599304206669,9.895512601273562e-05,2.0225471137122093e-06,5.0,0.0,6.0,6.795272123870543e-05,0,8.154303208226339e-05,0.0001494957533209,Poland,POL,mazovia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,21.0405,52.1991,16.0,machine,N,1.0
2026-04-21T14:12:39,yahoo-a1-vgru-strb,925a7aff-5c7c-48a9-a278-25d39d5ead25,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,48.47589262481779,3.521140229035884e-07,7.263693432708851e-09,5.0,0.0,6.0,6.732756741758852e-05,0,8.079259972088039e-05,0.0001481201671384,Canada,CAN,quebec,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,-71.2,46.8,16.0,machine,N,1.0
2026-05-01T22:59:11,yahoo-a1-vgru-strb,4ab6348a-f024-4474-956d-52b5caecd626,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,48.34815650014207,9.778623147895267e-05,2.02254312382449e-06,5.0,0.0,6.0,6.715015254578451e-05,0,8.05797016659441e-05,0.0001477298542117286,Poland,POL,silesia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,19.1034,50.8047,16.0,machine,N,1.0
