dataset,model,regime,seq_len,stride,split_size,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id,diag_c5,diag_c6,diag_c7,diag_c8,diag_c9,final_c5,final_c6,final_c7,final_c8,final_c9
yahoo-a3,gru,naive,12,12,336,B1,,,,,,,,0.0061708786586523,0.0206287327427963,-0.0061708786586523,0.944894364779128,0.951172939089252,0.9830147290372448,5,10,10,0.9593,0.9703,0.9627,0.9358,0.8964,0.9632,0.983,0.9753,0.9381,0.8964,4.377913428738961e-07,0.0001841611599093,8.370991296380656e-05,0.0001004512469454,60.3,52,5,60.3,r-naive_sl12_st12_sp336,,,,,,,,,,
yahoo-a3,gru,cumulative,12,12,336,B1,,,,,,,,-0.0012330473075106,0.0201775988242702,0.0012330473075106,0.9453694976535908,0.9311413590277472,0.9890641550485242,5,10,10,0.9593,0.9669,0.9741,0.9522,0.8744,0.9545,0.9521,0.9544,0.9203,0.8744,0.0004211340531531,0.0006362252776792,0.0002891940105305,0.0003470312671487,208.2,105,5,208.2,r-cumulative_sl12_st12_sp336,,,,,,,,,,
yahoo-a3,gru,experts,12,12,336,B1,,,,,,,,-0.0102562660413564,0.0091931249926511,0.0102562660413564,0.9326253334808088,0.910744809012433,0.984038175259798,5,10,10,0.9593,0.9526,0.977,0.9222,0.852,0.9263,0.9465,0.9382,0.8908,0.852,7.189939198702668e-07,0.000302451741923,0.0001374784133112,0.0001649733286118,99.0,117,5,99.0,r-experts_sl12_st12_sp336,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,50.0,,,0.5,,,,0.0062208107778796,0.0260728120056198,-0.0062208107778796,0.9489872215575472,0.9541318240507548,0.981502819844837,5,10,10,0.9593,0.975,0.9707,0.9467,0.8932,0.9708,0.9813,0.9737,0.9516,0.8932,0.0001592779310156,0.0002406280022474,0.0001093766780091,0.0001312513242382,78.8,54,5,78.8,r-random-buffer_sl12_st12_sp336_bu50_re0.5,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,100.0,,,0.5,,,,0.0059560546668469,0.0244349497465133,-0.0059560546668469,0.94857878421038,0.9536469963503492,0.981830251066388,5,10,10,0.9593,0.9738,0.9698,0.9463,0.8937,0.969,0.9818,0.9747,0.9489,0.8937,0.0001560725381174,0.0002357854777081,0.0001071755315972,0.0001286099461109,77.2,53,5,77.2,r-random-buffer_sl12_st12_sp336_bu100_re0.5,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,250.0,,,0.5,,,,0.0064085423879671,0.0258347725865504,-0.0064085423879671,0.9486133187314012,0.9537043096816092,0.9836499098222208,5,10,10,0.9593,0.9766,0.9689,0.9414,0.8968,0.9695,0.9836,0.9751,0.9434,0.8968,0.0001729727224447,0.0002613173110661,0.0001187808839125,0.0001425364271535,85.5,59,5,85.5,r-random-buffer_sl12_st12_sp336_bu250_re0.5,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,500.0,,,0.5,,,,0.0073788017215321,0.0252859442139067,-0.0073788017215321,0.9483261105667272,0.9543230817828212,0.9838324124702986,5,10,10,0.9593,0.9747,0.9677,0.9422,0.8977,0.9704,0.9838,0.9763,0.9433,0.8977,5.932499255595118e-07,0.0002495563153212,0.0001134349869195,0.0001361213284016,81.7,56,5,81.7,r-random-buffer_sl12_st12_sp336_bu500_re0.5,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,1000.0,,,0.5,,,,0.0061761268789048,0.0251121744929415,-0.0061761268789048,0.9482518079344356,0.9532834726729174,0.9816763762846756,5,10,10,0.9593,0.9771,0.9674,0.9425,0.895,0.9689,0.9817,0.9748,0.9461,0.895,0.0001652732737323,0.000249685423646,0.0001134936689231,0.0001361917547229,81.7,56,5,81.7,r-random-buffer_sl12_st12_sp336_bu1000_re0.5,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,50.0,,,,,,,0.0044639160295403,0.0219446123252334,-0.0044639160295403,0.9459441646824146,0.94833699852625,0.9809320517591824,5,10,10,0.9593,0.9713,0.9665,0.9406,0.892,0.9622,0.9805,0.9732,0.9338,0.892,0.0001274175362562,0.0001924951373057,8.749805966637925e-05,0.0001049970776393,63.0,57,5,63.0,r-random-buffer_sl12_st12_sp336_bu50,,,,,,,,,,
yahoo-a3,gru,random-buffer,12,12,336,B1,50.0,,,0.3,,,,0.0066581049381599,0.0204509976182403,-0.0066581049381599,0.9462176230753516,0.9529316928027524,0.9808229080186656,5,10,10,0.9593,0.9694,0.9678,0.9384,0.8962,0.9682,0.9808,0.9739,0.9456,0.8962,0.0001357435433995,0.000205073593422,9.321552314666204e-05,0.0001118580702754,67.1,53,5,67.1,r-random-buffer_sl12_st12_sp336_bu50_re0.3,,,,,,,,,,
