timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2026-04-21T01:47:56,yahoo-a1-vgru-strb,32ddc751-0337-46ba-af1b-d8b2a066bbaf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45.3140755421482,9.164984482007294e-05,2.0225469398537375e-06,5.0,0.0,6.0,6.293617563723174e-05,0,7.552317604267348e-05,0.0001384593516799,Poland,POL,mazovia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,21.0405,52.1991,16.0,machine,N,1.0
2026-04-21T14:13:28,yahoo-a1-vgru-strb,6b2fd661-9a3d-4f0f-8288-8c14efe2c9c5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,44.90275879204273,9.081783421454555e-05,2.022544642193332e-06,5.0,0.0,6.0,6.236489166816076e-05,0,7.483750590278456e-05,0.0001372023975709,Poland,POL,mazovia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,21.0405,52.1991,16.0,machine,N,1.0
2026-05-01T23:00:01,yahoo-a1-vgru-strb,e5e510ec-6d1e-428e-9ba3-951a0bd4e609,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,48.9206263339147,9.894408326497676e-05,2.0225432640543036e-06,5.0,0.0,6.0,6.794525098456588e-05,0,8.153381958371029e-05,0.00014947907056827615,Poland,POL,silesia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,19.1034,50.8047,16.0,machine,N,1.0
