dataset,model,regime,seq_len,stride,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,vgru,reservoir,10,10,B2,500.0,,,0.5,,,,0.0010384743958939,0.0002918560393856,-0.0010384743958939,0.6957291425766112,0.6973799516001981,0.7712041402406238,5,10,10,0.7497,0.7356,0.6335,0.765,0.5948,0.7506,0.736,0.6344,0.7712,0.5948,0.0001915223880107,0.0002893410864821,0.0001315189228005,0.0001578221636816,94.7,33,5,94.7,r-reservoir_sl10_st10_bu500_re0.5
smd,vgru,ewc,10,10,B2,,,,,1000.0,,,-0.0014056291324022,0.0004957766642393,0.0014056291324022,0.6970182117976135,0.6964206514107923,0.7660981368617419,5,10,10,0.7497,0.7383,0.6337,0.7657,0.5976,0.7498,0.7361,0.6327,0.766,0.5976,6.465841449000026e-07,0.0002719918701956,0.0001236328448498,0.0001483590253458,89.0,43,5,89.0,r-ewc_sl10_st10_la1000
smd,vgru,lwf,10,10,B2,,,,,,1.0,2.0,-6.515629483235807e-05,0.0008315196709293,6.515629483235807e-05,0.6964033890725808,0.69640090416433,0.7663872363218746,5,10,10,0.7497,0.7349,0.6338,0.7657,0.598,0.7496,0.7357,0.6328,0.7658,0.598,5.948382382509351e-07,0.0002502244544069,0.0001137386085691,0.0001364858458377,81.9,37,5,81.9,r-lwf_sl10_st10_al1.0_te2.0
smd,vgru,naive,12,12,B2,,,,,,,,-0.000993214975854,-0.0013860154210205,0.000993214975854,0.6970732957651075,0.6961818728873002,0.7672188530229569,5,10,10,0.7492,0.7368,0.635,0.7672,0.5971,0.749,0.735,0.6337,0.766,0.5971,5.402610081614144e-07,0.0002272660150464,0.0001033029633108,0.0001239630517355,74.4,40,5,74.4,r-naive_sl12_st12
smd,vgru,cumulative,12,12,B2,,,,,,,,-0.0009952234690918,-0.000134755659065,0.0009952234690918,0.6976587291011289,0.6966282497995155,0.76603905343905,5,10,10,0.7492,0.7381,0.636,0.766,0.5989,0.7499,0.7359,0.6338,0.7645,0.5989,0.0003716546280092,0.0005614745878077,0.0002552162939223,0.0003062582938854,183.8,53,5,183.8,r-cumulative_sl12_st12
smd,vgru,experts,12,12,B2,,,,,,,,0.0001359772707978,-0.0027607984039195,-0.0001359772707978,0.6957086199557291,0.6965750842013672,0.7667282480347795,5,10,10,0.7492,0.7348,0.6334,0.764,0.5971,0.7497,0.7357,0.6338,0.7667,0.5971,0.0001713324451835,0.0002588392738516,0.000117654487673,0.0001411847861786,84.7,50,5,84.7,r-experts_sl12_st12
smd,vgru,random-buffer,12,12,B2,500.0,,,0.5,,,,-0.0356263804886715,-0.0027007616823628,0.0356263804886715,0.7179829019120157,0.6945671572838052,0.7871202574181748,5,10,10,0.7492,0.7257,0.7258,0.7871,0.602,0.7455,0.7444,0.615,0.7659,0.602,7.417116059406704e-07,0.0003120081561493,0.0001418222161475,0.0001701859400017,102.1,41,5,102.1,r-random-buffer_sl12_st12_bu500_re0.5
smd,vgru,reservoir,12,12,B2,500.0,,,0.5,,,,0.0005454608996873,-0.0023312547763577,-0.0005454608996873,0.6947989774928703,0.6952008224662912,0.7735615469590045,5,10,10,0.7492,0.735,0.6328,0.7666,0.5904,0.7484,0.7356,0.628,0.7736,0.5904,0.0001890826616507,0.0002856552872235,0.0001298435329873,0.0001558117542361,93.5,35,5,93.5,r-reservoir_sl12_st12_bu500_re0.5
smd,vgru,ewc,12,12,B2,,,,,1000.0,,,-0.0006355422302882,-0.0014702593819417,0.0006355422302882,0.6968892610208667,0.6963071414260373,0.7674287939309051,5,10,10,0.7492,0.7367,0.6339,0.7674,0.5973,0.7491,0.7352,0.6336,0.7663,0.5973,0.0001690506210027,0.0002553920241881,0.0001160875349531,0.0001393044892349,83.6,40,5,83.6,r-ewc_sl12_st12_la1000
smd,vgru,lwf,12,12,B2,,,,,,1.0,2.0,-2.9605146100308845e-05,-0.0021513480238338,2.9605146100308845e-05,0.6957585154797867,0.6963970504163353,0.7663030083618216,5,10,10,0.7492,0.7376,0.632,0.7634,0.5966,0.7497,0.7354,0.6347,0.7656,0.5966,5.423485697358248e-07,0.0002281441680003,0.00010370206279,0.0001244421052102,74.7,35,5,74.7,r-lwf_sl12_st12_al1.0_te2.0
smd,vgru,naive,16,16,B2,,,,,,,,4.111203338247327e-05,0.0007657175492421,-4.111203338247327e-05,0.6968336728921061,0.6965590248757898,0.7671152581004734,5,10,10,0.7484,0.7363,0.6348,0.7663,0.5984,0.7497,0.7356,0.6338,0.7653,0.5984,0.0001321146630347,0.0001995912882025,9.072348952371008e-05,0.0001088677986788,65.3,33,5,65.3,r-naive_sl16_st16
smd,vgru,cumulative,16,16,B2,,,,,,,,0.0002420106860239,0.0006318735878227,-0.0002420106860239,0.696645002069571,0.6965715664313723,0.7671152581004734,5,10,10,0.7484,0.7357,0.6347,0.766,0.5985,0.7497,0.7358,0.6337,0.7652,0.5985,0.0002819127246777,0.0004258976451713,0.0001935901251725,0.0002323075199988,139.4,41,5,139.4,r-cumulative_sl16_st16
smd,vgru,experts,16,16,B2,,,,,,,,-0.0008998520001681,0.0009590974041308,0.0008998520001681,0.697308859138582,0.6959316464819596,0.7671152581004734,5,10,10,0.7484,0.7373,0.6369,0.7659,0.5981,0.7494,0.7351,0.6334,0.7638,0.5981,0.0001535715691525,0.0002320071566195,0.000105457964467,0.0001265491921524,75.9,46,5,75.9,r-experts_sl16_st16
smd,vgru,random-buffer,16,16,B2,500.0,,,0.5,,,,-0.0325806438901278,0.0004944878638434,0.0325806438901278,0.7181506172880846,0.6939454880369957,0.7869496336057867,5,10,10,0.7484,0.7262,0.7285,0.7869,0.6007,0.7445,0.7428,0.6143,0.7674,0.6007,0.0002308784699913,0.0003487980076192,0.0001585449135965,0.0001902530940226,114.2,50,5,114.2,r-random-buffer_sl16_st16_bu500_re0.5
smd,vgru,reservoir,16,16,B2,500.0,,,0.5,,,,0.0009192790863034,-0.0002368527758161,-0.0009192790863034,0.695906881374839,0.6967314424847165,0.7680475276980059,5,10,10,0.7484,0.7348,0.6343,0.766,0.5961,0.7494,0.7345,0.6357,0.768,0.5961,0.0001728776961547,0.0002611737507738,0.0001187155711225,0.0001424581796512,85.5,33,5,85.5,r-reservoir_sl16_st16_bu500_re0.5
smd,vgru,ewc,16,16,B2,,,,,1000.0,,,9.3426866855717e-05,0.0007522845653671,-9.3426866855717e-05,0.696785422106898,0.6965679519936847,0.7671152581004734,5,10,10,0.7484,0.7363,0.6347,0.7663,0.5983,0.7497,0.7356,0.6338,0.7654,0.5983,0.0001473390463212,0.0002225914170485,0.0001011780994782,0.0001214133175703,72.8,33,5,72.9,r-ewc_sl16_st16_la1000
smd,vgru,lwf,16,16,B2,,,,,,1.0,2.0,0.0002963878618751,0.0006651742061481,-0.0002963878618751,0.6965020029346866,0.6965788463668746,0.7671152581004734,5,10,10,0.7484,0.7363,0.6338,0.7658,0.5982,0.7498,0.7357,0.6338,0.7655,0.5982,5.065902919876498e-07,0.0002131021028392,9.686482158722356e-05,0.000116237281252,69.7,33,5,69.8,r-lwf_sl16_st16_al1.0_te2.0
smd,vgru,naive,48,48,B2,,,,,,,,0.0035382449665344,0.0031831416659837,-0.0035382449665344,0.6933272870461435,0.6973753630920441,0.7705072174006994,5,10,10,0.7485,0.7344,0.6287,0.7576,0.5974,0.7505,0.7375,0.6341,0.7673,0.5974,4.851861277285624e-07,0.0002040982342589,9.277209259259204e-05,0.0001113261416663,66.8,40,5,66.8,r-naive_sl48_st48
