dataset,model,regime,seq_len,stride,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,gru,naive,48,24,,,,,,,,MULTISEED,7,-0.03269810457255466,0.07320097827377878,0.03269810457255466,0.7875471333257227,0.763858582930252,0.8866620433964512,5,10,10,0.8075,0.7041,0.7023,0.8867,0.8372,0.767,0.6861,0.6455,0.8835,0.8372,0.0007135762665372,0.0010780302730776,0.0004900152704329,0.0005880150026447,352.8,190,5,352.8,r-naive_sl48_st24_sp0_seed7
smd,gru,random-buffer,24,12,2000.0,,,0.5,,,,MULTISEED,123,0.005362818709026463,0.04640311232839574,-0.005362818709026463,0.77525024383201,0.7835942380837483,0.8883152207382747,5,10,10,0.8058,0.7017,0.6936,0.8737,0.8013,0.7675,0.7448,0.7161,0.8883,0.8013,0.0012619294605912,0.0019064509636897,0.0008665709787611,0.0010398799849286,623.9,168,5,3398.5,r-random-buffer_sl24_st12_sp0_bu2000_re0.5_seed123
smd,gru,random-buffer,24,12,2000.0,,,0.5,,,,MULTISEED,7,-0.016653628099807714,0.10622176114796285,0.016653628099807714,0.7821825175944922,0.7615028881109215,0.8902176656882949,5,10,10,0.8115,0.7033,0.7001,0.8902,0.8059,0.7631,0.6936,0.6554,0.8896,0.8059,0.001105289156252,0.0016698077371972,0.0007590053984429,0.0009108023387542,546.5,165,5,5195.1,r-random-buffer_sl24_st12_sp0_bu2000_re0.5_seed7
smd,gru,reservoir,10,10,500.0,,,0.5,,,,MULTISEED,123,0.00894074422977752,0.09574289525244668,-0.00894074422977752,0.7733941302896524,0.7855684446364938,0.9048911611445217,5,10,10,0.8042,0.6966,0.6953,0.8877,0.7831,0.7929,0.7003,0.7467,0.9049,0.7831,0.000522198894779,0.0007889082688685,0.0003585955969937,0.0004303126718748,258.2,124,5,1183.1,r-reservoir_sl10_st10_sp0_bu500_re0.5_seed123
smd,gru,reservoir,10,10,500.0,,,0.5,,,,MULTISEED,7,0.008398527819759416,0.07202089938530717,-0.008398527819759416,0.7627825508088145,0.7705218218622131,0.8995235440469437,5,10,10,0.7777,0.697,0.6728,0.8912,0.7752,0.7773,0.7073,0.6933,0.8995,0.7752,0.0005243887955192,0.0007922166458474,0.0003600993718195,0.0004321172740279,259.3,116,5,1184.2,r-reservoir_sl10_st10_sp0_bu500_re0.5_seed7
smd,gru,strb,16,16,1000.0,0.05,0.9,0.5,,,,MULTISEED,123,-0.014123177902095862,0.11693256576786051,0.014123177902095862,0.7852272707560967,0.7608413870427378,0.8908023282995982,5,10,10,0.8024,0.699,0.695,0.8908,0.8388,0.7063,0.657,0.7171,0.8851,0.8388,0.002477261049627,0.0037425045241115,0.0017011423611146,0.0020413621629968,1224.8,134,5,2149.8,r-strb_sl16_st16_sp0_bu1000_no0.05_re0.9_re0.5_seed123
smd,gru,strb,16,16,1000.0,0.05,0.9,0.5,,,,MULTISEED,7,-0.006822906952644192,0.02169081119451083,0.006822906952644192,0.7713193374723937,0.7700699712417041,0.9010956802982363,5,10,10,0.7858,0.7007,0.7012,0.9011,0.7678,0.7787,0.6628,0.7675,0.8736,0.7678,0.0024543793409043,0.0037079361452856,0.0016854294298042,0.0020225067154814,1213.5,112,5,4912.9,r-strb_sl16_st16_sp0_bu1000_no0.05_re0.9_re0.5_seed7
smd,lstm,cumulative,6,6,,,,,,,,MULTISEED,123,-0.0018396790266227091,0.05250916284172621,0.0018396790266227091,0.7757677574246824,0.7781132637950431,0.8871261740502326,5,10,10,0.8057,0.7249,0.6864,0.8871,0.7747,0.7888,0.7115,0.7342,0.8813,0.7747,0.0012836522492046,0.0019392685121971,0.0008814878969886,0.0010577806152085,634.7,165,5,3546.1,r-cumulative_sl6_st6_sp0_seed123
smd,lstm,cumulative,6,6,,,,,,,,MULTISEED,7,-0.011441853198248409,0.09651645705467718,0.011441853198248409,0.7702947238543916,0.7669740800302248,0.8807814435334851,5,10,10,0.809,0.7152,0.6931,0.8808,0.7534,0.7845,0.7252,0.6912,0.8805,0.7534,0.0012014285066435,0.0018150495775109,0.0008250245235491,0.0009900250539618,594.0,155,5,3353.3,r-cumulative_sl6_st6_sp0_seed7
smd,lstm,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,123,0.0004195289244657618,0.0614474435576879,-0.0004195289244657618,0.7669901774883939,0.7714229595546387,0.8619502311930197,5,10,10,0.8047,0.6969,0.6833,0.8503,0.7997,0.8217,0.6861,0.6876,0.862,0.7997,0.0012789969865043,0.0019322356071589,0.0008782910371535,0.0010539445700054,632.4,177,5,4081.7,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed123
smd,lstm,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,7,0.004601759417104579,0.08221540448369469,-0.004601759417104579,0.780516325714929,0.7843331745735564,0.886254639218593,5,10,10,0.7916,0.6997,0.7426,0.8758,0.793,0.796,0.7093,0.7371,0.8863,0.793,0.0012914841400955,0.0019511004856971,0.0008868661840304,0.0010642343016667,638.5,178,5,2501.3,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed7
smd,lstm,ewc,48,48,,,,,1000.0,,,MULTISEED,123,-0.005866765447827116,0.048464227898734426,0.005866765447827116,0.7530330597703101,0.759056803583122,0.8337393892447854,5,10,10,0.7857,0.6719,0.7003,0.8305,0.7768,0.7481,0.7383,0.6984,0.8337,0.7768,0.0003695211885533,0.0005582515093127,0.0002537513947955,0.0003045001145172,182.7,175,5,551.4,r-ewc_sl48_st48_sp0_la1000_seed123
smd,lstm,ewc,48,48,,,,,1000.0,,,MULTISEED,7,0.019283959305658703,0.09562120431388024,-0.019283959305658703,0.7204433252935122,0.739254843400789,0.7788536395422707,5,10,10,0.7789,0.6838,0.6233,0.7547,0.7615,0.7587,0.7444,0.6732,0.7584,0.7615,0.0004435023320588,0.0006700179960582,0.0003045544839716,0.0003654635120866,219.3,205,5,219.3,r-ewc_sl48_st48_sp0_la1000_seed7
smd,lstm,experts,48,24,,,,,,,,MULTISEED,123,-0.07630897873505607,0.03902135374544534,0.07630897873505607,0.7749677408657198,0.7050594494586704,0.8919483140323661,5,10,10,0.8086,0.7133,0.6937,0.8919,0.7672,0.6624,0.7088,0.7823,0.6046,0.7672,0.0009442420802661,0.0014265070117598,0.0006484141555032,0.0007780928562566,466.9,220,5,1380.7,r-experts_sl48_st24_sp0_seed123
smd,lstm,experts,48,24,,,,,,,,MULTISEED,7,-0.0781730548824232,0.08056990899158895,0.0781730548824232,0.7733813936880842,0.7044334991078879,0.8835653752228502,5,10,10,0.8306,0.6999,0.7001,0.8836,0.7527,0.6933,0.6977,0.721,0.6575,0.7527,0.0012610703588085,0.0019051530817773,0.0008659817366349,0.0010391713451423,623.5,206,5,623.5,r-experts_sl48_st24_sp0_seed7
smd,lstm,gdumb,48,48,500.0,,,0.5,,,,MULTISEED,123,0.017248802640330418,0.03000642922115202,-0.017248802640330418,0.7421298908047339,0.753908507415148,0.8258998765517326,5,10,10,0.7857,0.669,0.6706,0.8143,0.7711,0.7959,0.7395,0.6372,0.8259,0.7711,0.0013887812424793,0.0020980913916046,0.0009536815634178,0.0011444098281868,686.7,196,5,686.7,r-gdumb_sl48_st48_sp0_bu500_re0.5_seed123
smd,lstm,gdumb,48,48,500.0,,,0.5,,,,MULTISEED,7,0.025950076372586627,0.08306435359067238,-0.025950076372586627,0.7019895630427948,0.7194467826867079,0.7924188337275662,5,10,10,0.7789,0.6749,0.623,0.7225,0.7106,0.7866,0.743,0.6273,0.7296,0.7106,0.0011535380980089,0.0017426994830372,0.0007921388157436,0.0009505606672936,570.3,250,5,1962.7,r-gdumb_sl48_st48_sp0_bu500_re0.5_seed7
smd,lstm,lwf,16,16,,,,,,1.0,2.0,MULTISEED,123,-0.042426881482073533,0.08098491320713565,0.042426881482073533,0.7721194654665576,0.7382763301776085,0.8950785052459996,5,10,10,0.8153,0.6934,0.6697,0.8951,0.7871,0.7252,0.6312,0.7112,0.8367,0.7871,0.0003629565307337,0.0005483339991686,0.0002492433704888,0.0002990906286798,179.5,131,5,1185.4,r-lwf_sl16_st16_sp0_al1.0_te2.0_seed123
smd,lstm,lwf,16,16,,,,,,1.0,2.0,MULTISEED,7,-0.03449517317212454,0.08827128616857464,0.03449517317212454,0.7762428908198007,0.7503455075086997,0.8857060973882885,5,10,10,0.8224,0.6928,0.6744,0.8857,0.8059,0.7256,0.6791,0.6939,0.8472,0.8059,0.0004124552596611,0.000623113852094,0.0002832342940402,0.0003398795580537,203.9,148,5,1344.5,r-lwf_sl16_st16_sp0_al1.0_te2.0_seed7
smd,lstm,naive,48,48,,,,,,,,MULTISEED,123,-0.00464764642982457,0.049334300610412905,0.00464764642982457,0.7542223303905459,0.7610218119216234,0.832809743613455,5,10,10,0.7857,0.6726,0.7007,0.8306,0.7816,0.7465,0.7399,0.7043,0.8328,0.7816,0.0003437667941903,0.0005193432410727,0.0002360657901664,0.0002832774509062,170.0,175,5,1094.8,r-naive_sl48_st48_sp0_seed123
smd,lstm,naive,48,48,,,,,,,,MULTISEED,7,0.007794212570255499,0.10448615303007158,-0.007794212570255499,0.7246504769424116,0.7301504769057939,0.7788536395422707,5,10,10,0.7789,0.6712,0.6849,0.7654,0.7229,0.7657,0.735,0.6704,0.7567,0.7229,0.00042882166105,0.0006478392766714,0.0002944732148685,0.0003533660618029,212.0,211,5,997.3,r-naive_sl48_st48_sp0_seed7
