dataset,model,regime,seq_len,stride,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,tcn,reservoir,24,12,500.0,,,0.7,,,,MULTISEED,123,-0.01933057245943276,0.05213429266648356,0.01933057245943276,0.7820921416344875,0.7639328814750381,0.8948243706626205,5,10,10,0.8024,0.6934,0.6875,0.8948,0.8324,0.778,0.6721,0.6438,0.8934,0.8324,0.0009811043331738,0.0014821963983494,0.0006737272971658,0.0008084691011835,485.1,213,5,2477.7,r-reservoir_sl24_st12_sp0_bu500_re0.7_seed123
smd,tcn,reservoir,24,12,500.0,,,0.7,,,,MULTISEED,7,-0.009196923836899162,0.049332356559891336,0.009196923836899162,0.7769698094336495,0.7708272094934945,0.9001706573488024,5,10,10,0.8059,0.7007,0.6835,0.9002,0.7946,0.7904,0.6882,0.6929,0.888,0.7946,0.0010439023682673,0.001577068083543,0.0007168510079855,0.0008602170755574,516.1,196,5,958.9,r-reservoir_sl24_st12_sp0_bu500_re0.7_seed7
smd,tcn,strb,24,24,500.0,0.05,0.9,0.5,,,,MULTISEED,123,-0.02844501722565922,-0.014492132948729374,0.02844501722565922,0.7735628471731854,0.7456704957190577,0.8911779094314658,5,10,10,0.7833,0.672,0.7068,0.8912,0.8146,0.7453,0.6725,0.6322,0.8638,0.8146,0.0003451587200645,0.0005214460831943,0.0002370215513892,0.0002844245318051,170.7,167,5,225.5,r-strb_sl24_st24_sp0_bu500_no0.05_re0.9_re0.5_seed123
smd,tcn,strb,24,24,500.0,0.05,0.9,0.5,,,,MULTISEED,7,-0.022028042295598838,-0.0033676237767808594,0.022028042295598838,0.763512846658881,0.7528405080528375,0.8981445191959415,5,10,10,0.7815,0.6786,0.6939,0.8981,0.7653,0.7783,0.6318,0.7192,0.8695,0.7653,0.0002384683740322,0.0003602644012053,0.0001637569585659,0.0001965074426393,117.9,90,5,313.6,r-strb_sl24_st24_sp0_bu500_no0.05_re0.9_re0.5_seed7
smd,vgru,cumulative,48,24,,,,,,,,MULTISEED,123,-0.00017759204098475312,0.00026937600995704527,0.00017759204098475312,0.6971065698451652,0.6969123870876912,0.7665819284322773,5,10,10,0.7495,0.7361,0.6342,0.7662,0.5996,0.7499,0.7361,0.6335,0.7655,0.5996,0.0005359560827165,0.0008096918427688,0.0003680428611696,0.0004416489815991,265.0,49,5,745.1,r-cumulative_sl48_st24_sp0_seed123
smd,vgru,cumulative,48,24,,,,,,,,MULTISEED,7,0.0004906803194136943,0.0003467394107928179,-0.0004906803194136943,0.6963109696435016,0.6967074894673788,0.7660142681594229,5,10,10,0.7495,0.7356,0.6319,0.7656,0.5989,0.7498,0.736,0.6331,0.7657,0.5989,0.0005462200535218,0.0008251980637138,0.0003750909994783,0.0004501070642354,270.1,51,5,1097.8,r-cumulative_sl48_st24_sp0_seed7
smd,vgru,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,123,0.00130887446091279,-0.00010874312986368651,-0.00130887446091279,0.6964058835267929,0.6973500215798528,0.7681239981977044,5,10,10,0.7493,0.7354,0.6355,0.7646,0.5973,0.7492,0.7326,0.6426,0.765,0.5973,0.0003318174394293,0.0005012908382951,0.000227860004685,0.00027343083361,164.1,34,5,1099.3,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed123
smd,vgru,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,7,0.0011610882671496902,-1.6182795328179012e-05,-0.0011610882671496902,0.6965074480180388,0.6973193734408513,0.7653947907359779,5,10,10,0.7496,0.7362,0.634,0.7642,0.5985,0.7494,0.7326,0.6423,0.7638,0.5985,0.0003301719239169,0.0004988048874299,0.0002267300878457,0.0002720747995842,163.2,33,5,1088.2,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed7
smd,vgru,ewc,48,48,,,,,1000.0,,,MULTISEED,123,0.001310084049364224,0.0038907689323310346,-0.001310084049364224,0.6959600213566406,0.696687105536664,0.7676141556691852,5,10,10,0.7493,0.7329,0.6322,0.7658,0.5996,0.7498,0.7361,0.6331,0.7648,0.5996,0.0001351322318591,0.0002041500588572,9.27957435778808e-05,0.0001113543152793,66.8,36,5,66.8,r-ewc_sl48_st48_sp0_la1000_seed123
smd,vgru,ewc,48,48,,,,,1000.0,,,MULTISEED,7,-0.0003799416467546668,-0.0005933874181055399,0.0003799416467546668,0.6972525479094933,0.6966825202874476,0.7671359920194657,5,10,10,0.7504,0.7361,0.6333,0.7671,0.5994,0.7497,0.7356,0.6332,0.7655,0.5994,0.0001548900405872,0.0002339990279687,0.0001063635007497,0.000127635527219,76.6,38,5,76.6,r-ewc_sl48_st48_sp0_la1000_seed7
smd,vgru,experts,48,24,,,,,,,,MULTISEED,123,0.0005193908585887752,0.00031208331731072956,-0.0005193908585887752,0.696617902370375,0.6967574835788245,0.7665819284322773,5,10,10,0.7495,0.736,0.6326,0.7664,0.5987,0.7499,0.7361,0.6334,0.7657,0.5987,0.0003469945245391,0.0005242195117568,0.0002382822724518,0.0002859372393049,171.6,66,5,1127.6,r-experts_sl48_st24_sp0_seed123
smd,vgru,experts,48,24,,,,,,,,MULTISEED,7,0.00035550262056655013,0.0005880139111423488,-0.00035550262056655013,0.6966672444829047,0.6967868644628922,0.7660276292991606,5,10,10,0.7495,0.7361,0.6318,0.7654,0.6005,0.7496,0.7361,0.6331,0.7646,0.6005,0.0002613708635171,0.00039486417442,0.0001794842521976,0.0002153799222223,129.2,56,5,129.2,r-experts_sl48_st24_sp0_seed7
smd,vgru,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,123,-0.0031224375249066295,-0.0013778524693652482,0.0031224375249066295,0.6985378894437416,0.696294286796978,0.776433490870198,5,10,10,0.7496,0.7367,0.6486,0.7736,0.5842,0.7467,0.731,0.6431,0.7764,0.5842,0.0003915436419842,0.0005915217743134,0.0002688741871563,0.0003226475871571,193.6,44,5,2043.2,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed123
smd,vgru,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,7,-0.002715641595806195,-0.0006799282595180034,0.002715641595806195,0.6980280820915897,0.696323607408034,0.7767543699815426,5,10,10,0.7492,0.7368,0.647,0.7732,0.5839,0.7473,0.7316,0.6421,0.7768,0.5839,0.000326145476904,0.0004927219612223,0.0002239650966431,0.0002687568645792,161.3,36,5,868.8,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed7
smd,vgru,lwf,48,48,,,,,,1.0,2.0,MULTISEED,123,0.0008034040184844438,0.0034205688916746912,-0.0008034040184844438,0.6963012687684433,0.6967630753224338,0.7676141556691852,5,10,10,0.7493,0.7343,0.6327,0.7657,0.5995,0.7499,0.7363,0.633,0.7651,0.5995,0.0001324800416056,0.0002001432812816,9.097447656224378e-05,0.0001091688047194,65.5,36,5,117.4,r-lwf_sl48_st48_sp0_al1.0_te2.0_seed123
smd,vgru,lwf,48,48,,,,,,1.0,2.0,MULTISEED,7,-0.00032012936833580863,-0.00038128369964383067,0.00032012936833580863,0.6972566136103249,0.6967802141105397,0.7673288445715752,5,10,10,0.7504,0.736,0.6333,0.7673,0.5993,0.7497,0.7357,0.6332,0.766,0.5993,0.0001367685428556,0.0002066221040654,9.391937760519794e-05,0.0001127027264602,67.6,38,5,441.2,r-lwf_sl48_st48_sp0_al1.0_te2.0_seed7
smd,vgru,naive,48,48,,,,,,,,MULTISEED,123,0.0012666742795302889,0.0039034602851912405,-0.0012666742795302889,0.6960201896790721,0.6966871954511051,0.7676141556691852,5,10,10,0.7493,0.7331,0.6321,0.7658,0.5998,0.7498,0.7362,0.6331,0.7646,0.5998,0.0001230225809665,0.000185855489838,8.448001261567697e-05,0.0001013754772224,60.8,36,5,122.7,r-naive_sl48_st48_sp0_seed123
smd,vgru,naive,48,48,,,,,,,,MULTISEED,7,-0.00041056744868630537,-0.0005932635872735514,0.00041056744868630537,0.6972871901537939,0.6966728516965771,0.7672345855888051,5,10,10,0.7504,0.7361,0.6333,0.7672,0.5994,0.7497,0.7356,0.6333,0.7655,0.5994,0.0001276354428455,0.0001928243381368,8.764768709596764e-05,0.0001051766510408,63.1,38,5,106.5,r-naive_sl48_st48_sp0_seed7
smd,vgru,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,123,-0.021147013760879418,0.0011505408002913775,0.021147013760879418,0.7134918378417159,0.6972561658944094,0.7795832157340957,5,10,10,0.7496,0.7292,0.7078,0.7796,0.6013,0.7484,0.7433,0.6221,0.7713,0.6013,0.0003028193708762,0.0004574822123262,0.0002079470112848,0.0002495352010413,149.7,42,5,327.5,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed123
smd,vgru,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,7,-0.021526516119876004,0.001969076030264638,0.021526516119876004,0.7136310973725248,0.6967793613045445,0.7808833520843905,5,10,10,0.7492,0.7315,0.7082,0.7809,0.5984,0.7481,0.7427,0.6229,0.7718,0.5984,0.0003200040796272,0.000483443888935,0.0002197477789356,0.0002636961099994,158.2,49,5,343.2,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed7
smd,vgru,reservoir,10,10,500.0,,,0.5,,,,MULTISEED,123,0.000903196561315156,0.00023234686926224546,-0.000903196561315156,0.6956414577242725,0.6972059587975424,0.7697130543246224,5,10,10,0.75,0.7352,0.6327,0.7643,0.596,0.7502,0.7358,0.6343,0.7697,0.596,0.0002395517823002,0.0003619011525461,0.0001645009310172,0.0001974002215289,118.4,31,5,118.5,r-reservoir_sl10_st10_sp0_bu500_re0.5_seed123
smd,vgru,reservoir,10,10,500.0,,,0.5,,,,MULTISEED,7,0.0014725692141402623,-0.00035226267667187727,-0.0014725692141402623,0.6951733726698367,0.6972375236684937,0.7698570304768577,5,10,10,0.7497,0.7354,0.6312,0.7638,0.5957,0.7505,0.736,0.6341,0.7699,0.5957,0.0002567755989689,0.0003879219111637,0.0001763286257511,0.0002115932854125,127.0,32,5,127.0,r-reservoir_sl10_st10_sp0_bu500_re0.5_seed7
smd,vgru,strb,8,4,500.0,0.2,0.9,0.5,,,,MULTISEED,123,-0.00040736162929233544,-0.004167238111653882,0.00040736162929233544,0.6951757724912792,0.6945457332848781,0.7655245801578068,5,10,10,0.7506,0.7348,0.6437,0.7516,0.5952,0.7517,0.7336,0.6418,0.7505,0.5952,0.0006353557899854,0.0009598592440627,0.0004363050790548,0.0005235541650078,314.1,31,5,1415.3,r-strb_sl8_st4_sp0_bu500_no0.2_re0.9_re0.5_seed123
smd,vgru,strb,8,4,500.0,0.2,0.9,0.5,,,,MULTISEED,7,-0.0006806651791874674,-0.003798200467057311,0.0006806651791874674,0.6938959907682009,0.6933864957691813,0.7655871272564401,5,10,10,0.7496,0.731,0.6423,0.7514,0.5952,0.749,0.7303,0.6415,0.751,0.5952,0.0004875164960198,0.0007365120814409,0.0003347838972759,0.0004017281841649,241.0,32,5,1165.9,r-strb_sl8_st4_sp0_bu500_no0.2_re0.9_re0.5_seed7
smd,vgru-kl,cumulative,48,48,,,,,,,,MULTISEED,123,0.03839732392651897,0.043337653470747826,-0.03839732392651897,0.6888536240372101,0.7183034951253822,0.7899769077810994,5,10,10,0.715,0.5974,0.6627,0.7758,0.6934,0.7484,0.6974,0.6624,0.79,0.6934,0.0002273846902987,0.0003435198047798,0.0001561458066558,0.0001873739981239,112.4,34,5,1020.0,r-cumulative_sl48_st48_sp0_seed123
smd,vgru-kl,cumulative,48,48,,,,,,,,MULTISEED,7,0.03216951825420942,0.030587271494888178,-0.03216951825420942,0.6911135247051418,0.7271130912311936,0.8108738115536946,5,10,10,0.7185,0.6465,0.6614,0.7372,0.692,0.7368,0.7305,0.6655,0.8109,0.692,0.0002461454726406,0.0003718625233645,0.0001690288675341,0.0002028336558304,121.7,37,5,1046.6,r-cumulative_sl48_st48_sp0_seed7
smd,vgru-kl,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,123,0.027395475783906786,0.039814048146238255,-0.027395475783906786,0.703735820242073,0.7289037020348087,0.8035626552591895,5,10,10,0.7286,0.6254,0.671,0.7664,0.7273,0.7338,0.6736,0.7062,0.8036,0.7273,0.0003080451217182,0.0004653769782699,0.0002115355100126,0.0002538414682572,152.3,30,5,2463.4,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed123
smd,vgru-kl,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,7,0.03231898283317244,0.04983881320915442,-0.03231898283317244,0.6955846298583692,0.7223182754548547,0.8234366834660323,5,10,10,0.7136,0.6232,0.6413,0.7815,0.7183,0.7187,0.6639,0.6873,0.8234,0.7183,0.0003056560517249,0.0004617677077572,0.000209894933102,0.0002518727746551,151.1,30,5,1078.0,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed7
smd,vgru-kl,ewc,24,12,,,,,1000.0,,,MULTISEED,123,-0.037883684728838185,0.0337038178142573,0.037883684728838185,0.7787119830822234,0.766935595616252,0.8848220061194031,5,10,10,0.7909,0.7088,0.7015,0.8848,0.8076,0.7726,0.716,0.6556,0.8829,0.8076,0.0010374464413281,0.0015673148378039,0.0007124178092616,0.0008548970285422,512.9,209,5,513.0,r-ewc_sl24_st12_sp0_la1000_seed123
smd,vgru-kl,ewc,24,12,,,,,1000.0,,,MULTISEED,7,-0.04032405548618954,0.14997887309598112,0.04032405548618954,0.7781417053806694,0.7558707805686662,0.878650671652144,5,10,10,0.8001,0.7025,0.7014,0.8737,0.813,0.6594,0.672,0.7563,0.8787,0.813,0.001112360059121,0.0016804900534516,0.0007638613515048,0.0009166287019468,550.0,185,5,550.0,r-ewc_sl24_st12_sp0_la1000_seed7
smd,vgru-kl,experts,48,24,,,,,,,,MULTISEED,123,0.029788632146562865,0.05695522516635572,-0.029788632146562865,0.6974396863478739,0.7194777188478761,0.7834312840698573,5,10,10,0.7075,0.6303,0.6572,0.7834,0.7088,0.6975,0.7285,0.6832,0.7795,0.7088,0.0003512739753471,0.0005306846616497,0.0002412212001185,0.0002894634615311,173.7,38,5,173.7,r-experts_sl48_st24_sp0_seed123
smd,vgru-kl,experts,48,24,,,,,,,,MULTISEED,7,0.0034789152537054837,0.07220036845326916,-0.0034789152537054837,0.7096094164584084,0.7143403609180676,0.79794661239443,5,10,10,0.7151,0.7165,0.6882,0.772,0.6563,0.7202,0.737,0.6603,0.7979,0.6563,0.0003713591240745,0.0005610281573387,0.0002550137077555,0.0003060144495832,183.6,40,5,183.6,r-experts_sl48_st24_sp0_seed7
smd,vgru-kl,gdumb,48,48,500.0,,,0.5,,,,MULTISEED,123,0.022414424307533286,0.04371640905186523,-0.022414424307533286,0.6952553512635201,0.7164390643514733,0.800353575015116,5,10,10,0.715,0.6288,0.7016,0.7653,0.6657,0.7342,0.6979,0.684,0.8004,0.6657,0.0003330515127532,0.0005031552057982,0.0002287077644076,0.0002744474413905,164.7,38,5,164.7,r-gdumb_sl48_st48_sp0_bu500_re0.5_seed123
smd,vgru-kl,gdumb,48,48,500.0,,,0.5,,,,MULTISEED,7,0.01986861756100472,0.04223561209280922,-0.01986861756100472,0.7037437117112942,0.7194046918589296,0.8178954438047817,5,10,10,0.7185,0.6294,0.6925,0.7884,0.6899,0.7035,0.7021,0.6836,0.8179,0.6899,0.0003373097725056,0.0005095883414545,0.0002316319965252,0.0002779563449292,166.8,38,5,166.8,r-gdumb_sl48_st48_sp0_bu500_re0.5_seed7
smd,vgru-kl,lwf,24,12,,,,,,2.0,2.0,MULTISEED,123,-0.004430894759573778,0.03340620062885068,0.004430894759573778,0.7617103290503271,0.7436392412506023,0.8799117694820864,5,10,10,0.7909,0.6633,0.6705,0.8799,0.8039,0.772,0.6816,0.6646,0.7961,0.8039,0.0007726183939743,0.0011672277474738,0.0005305596358757,0.0006366681115981,382.0,133,5,2226.5,r-lwf_sl24_st12_sp0_al2.0_te2.0_seed123
smd,vgru-kl,lwf,24,12,,,,,,2.0,2.0,MULTISEED,7,0.000291868734415146,0.13854636349733457,-0.000291868734415146,0.7590528815812052,0.7585138518862815,0.8697733867715521,5,10,10,0.8001,0.6512,0.6645,0.8698,0.8097,0.7174,0.6772,0.7572,0.831,0.8097,0.0006113743384309,0.0009236294365698,0.0004198326126122,0.0005037968239576,302.3,137,5,3077.0,r-lwf_sl24_st12_sp0_al2.0_te2.0_seed7
smd,vgru-kl,naive,48,48,,,,,,,,MULTISEED,123,0.007217796242834462,0.07287474699942152,-0.007217796242834462,0.7193467748472161,0.7191384600048849,0.79785605175348,5,10,10,0.715,0.6703,0.7075,0.7979,0.7061,0.7078,0.7243,0.6678,0.7897,0.7061,0.0001301902196523,0.0001966839490401,8.940205306797807e-05,0.0001072818959721,64.4,40,5,64.4,r-naive_sl48_st48_sp0_seed123
smd,vgru-kl,naive,48,48,,,,,,,,MULTISEED,7,0.02442076194286221,0.059595844145183,-0.02442076194286221,0.7074376869292864,0.7254368216816018,0.7905007158998847,5,10,10,0.7185,0.6374,0.6845,0.77,0.7267,0.71,0.7226,0.6774,0.7905,0.7267,0.0001400189389662,0.000211532616888,9.615146313832762e-05,0.0001153811537497,69.2,40,5,69.2,r-naive_sl48_st48_sp0_seed7
smd,vgru-kl,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,123,0.021952988680447916,0.05173380347058445,-0.021952988680447916,0.7065614792286705,0.7283113933519505,0.8102580590081218,5,10,10,0.7255,0.6802,0.6632,0.7508,0.713,0.7023,0.7421,0.6738,0.8103,0.713,0.0002376716896958,0.0003590608160064,0.0001632098678816,0.0001958509481248,117.5,33,5,1042.3,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed123
smd,vgru-kl,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,7,0.02104473938620436,0.061573317579651565,-0.02104473938620436,0.7204010563242239,0.7410188451590443,0.8357253437949717,5,10,10,0.7149,0.6762,0.6707,0.8147,0.7255,0.7208,0.7241,0.699,0.8357,0.7255,0.0002351640975882,0.0003552724890519,0.0001614878714123,0.0001937846176396,116.3,32,5,1041.1,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed7
smd,vgru-kl,reservoir,48,48,500.0,,,0.5,,,,MULTISEED,123,0.03251734199228532,0.056117886761759106,-0.03251734199228532,0.7060667991549971,0.7319737025315197,0.8090497032719641,5,10,10,0.715,0.5905,0.6842,0.809,0.7316,0.7417,0.7168,0.6644,0.8053,0.7316,0.000172931117263,0.0002612544563335,0.0001187523120975,0.0001425021442359,85.5,34,5,1010.5,r-reservoir_sl48_st48_sp0_bu500_re0.5_seed123
smd,vgru-kl,reservoir,48,48,500.0,,,0.5,,,,MULTISEED,7,0.020308779033643688,0.0494220052090529,-0.020308779033643688,0.7106329050164764,0.7243339480921491,0.8027447885476855,5,10,10,0.7185,0.629,0.6741,0.8027,0.7288,0.7076,0.7115,0.672,0.8017,0.7288,0.0001718539061517,0.0002596270673032,0.0001180126002905,0.0001416144670126,85.0,38,5,85.0,r-reservoir_sl48_st48_sp0_bu500_re0.5_seed7
smd,vgru-kl,strb,24,24,1000.0,0.2,0.9,0.5,,,,MULTISEED,123,0.006073445852296233,0.06528196279109169,-0.006073445852296233,0.7226377511822817,0.7239195693734064,0.7714588625817417,5,10,10,0.724,0.7224,0.6642,0.7715,0.7311,0.7004,0.7316,0.6927,0.7638,0.7311,0.0001872196996908,0.0002828408306833,0.0001285643754041,0.0001542764552791,92.6,35,5,1017.4,r-strb_sl24_st24_sp0_bu1000_no0.2_re0.9_re0.5_seed123
smd,vgru-kl,strb,24,24,1000.0,0.2,0.9,0.5,,,,MULTISEED,7,0.01303925201488516,0.06260180600362539,-0.01303925201488516,0.7218839321941098,0.7304460775040725,0.7904831389861064,5,10,10,0.7174,0.7339,0.6576,0.765,0.7356,0.7169,0.7524,0.6569,0.7905,0.7356,0.0001916441456024,0.0002895250308984,0.0001316026399274,0.000157922390971,94.8,36,5,94.8,r-strb_sl24_st24_sp0_bu1000_no0.2_re0.9_re0.5_seed7
smd,vlstm,cumulative,48,48,,,,,,,,MULTISEED,123,-2.8477224322431827e-05,-0.00046188607983776997,2.8477224322431827e-05,0.6964461361261021,0.6963877656260348,0.7672311444523096,5,10,10,0.7498,0.7359,0.6339,0.7653,0.5973,0.7492,0.7355,0.6328,0.7672,0.5973,0.0002741487812756,0.0004141683228572,0.0001882588259824,0.0002259094968748,135.5,42,5,442.2,r-cumulative_sl48_st48_sp0_seed123
smd,vlstm,cumulative,48,48,,,,,,,,MULTISEED,7,-0.0003610066233907361,-0.001137378062029637,0.0003610066233907361,0.6970133081508039,0.6966681804089074,0.7663680473143434,5,10,10,0.7498,0.7362,0.6347,0.7659,0.5985,0.7497,0.736,0.633,0.7661,0.5985,0.0003186149588074,0.0004813452845294,0.0002187938926534,0.0002625513918759,157.5,49,5,1289.6,r-cumulative_sl48_st48_sp0_seed7
smd,vlstm,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,123,0.0010947526959467103,-0.0003038611371369293,-0.0010947526959467103,0.6964566339867837,0.6972871188325485,0.7659712945329675,5,10,10,0.7496,0.7364,0.6342,0.7645,0.5977,0.7492,0.7327,0.6424,0.7645,0.5977,0.0003211517007285,0.0004851776493573,0.000220535809147,0.0002646418402103,158.8,30,5,1068.3,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed123
smd,vlstm,derpp,8,8,500.0,,,0.5,,0.5,0.5,MULTISEED,7,0.0010889323914940242,-6.673685073887992e-05,-0.0010889323914940242,0.696546960612281,0.6973133044004348,0.7659311930959947,5,10,10,0.7497,0.7364,0.6338,0.7644,0.5985,0.7494,0.7327,0.6421,0.7639,0.5985,0.0003309948920971,0.000500048180759,0.000227295135065,0.0002727530456939,163.7,30,5,163.7,r-derpp_sl8_st8_sp0_bu500_re0.5_al0.5_te0.5_seed7
smd,vlstm,ewc,48,48,,,,,1000.0,,,MULTISEED,123,0.00021097646945875682,0.00011223066014220962,-0.00021097646945875682,0.696783758793705,0.6967816796802928,0.7657345885047013,5,10,10,0.7498,0.7365,0.6319,0.7657,0.5999,0.7499,0.7362,0.6333,0.7646,0.5999,0.0001389337021557,0.0002098931030896,9.540620642235608e-05,0.0001144868966673,68.7,33,5,993.6,r-ewc_sl48_st48_sp0_la1000_seed123
smd,vlstm,ewc,48,48,,,,,1000.0,,,MULTISEED,7,-0.0003879004741783598,-0.0005459830997278203,0.0003879004741783598,0.6974606331707232,0.696764832201716,0.767592244482985,5,10,10,0.7498,0.7369,0.6333,0.7676,0.5997,0.7497,0.7356,0.6333,0.7655,0.5997,0.0001322150067534,0.0001997428817624,9.079248599591664e-05,0.0001089503957664,65.4,33,5,65.4,r-ewc_sl48_st48_sp0_la1000_seed7
smd,vlstm,experts,48,48,,,,,,,,MULTISEED,123,0.0005346626515254638,-0.0002514838674503417,-0.0005346626515254638,0.6962332096035189,0.6968583400073587,0.7655992118665722,5,10,10,0.7498,0.7359,0.6319,0.7647,0.5988,0.75,0.7368,0.6331,0.7656,0.5988,0.0001522465589211,0.0002300054068296,0.0001045482009261,0.0001254572059035,75.3,46,5,988.8,r-experts_sl48_st48_sp0_seed123
smd,vlstm,experts,48,48,,,,,,,,MULTISEED,7,-0.001004299188922142,-0.0006333770254537852,0.001004299188922142,0.6974935993149046,0.6963122156632234,0.7671238681727086,5,10,10,0.7498,0.737,0.6349,0.7671,0.5986,0.7493,0.7346,0.6338,0.7653,0.5986,0.000143441251353,0.0002167028510031,9.85015560737035e-05,0.0001182012949294,70.9,46,5,993.3,r-experts_sl48_st48_sp0_seed7
smd,vlstm,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,123,-0.0038261928563380287,-0.0012431410718607317,0.0038261928563380287,0.6990819231267905,0.696215128756713,0.7764089545353886,5,10,10,0.7497,0.7374,0.6498,0.7741,0.5844,0.7466,0.7314,0.6423,0.7764,0.5844,0.0003172322890456,0.0004792564260138,0.0002178444390023,0.0002614119870114,156.8,32,5,1502.0,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed123
smd,vlstm,gdumb,24,12,4000.0,,,0.5,,,,MULTISEED,7,-0.0029052832171993946,-0.0008930270105304339,0.0029052832171993946,0.698168479634549,0.6963725198043949,0.7770631459074516,5,10,10,0.7497,0.7376,0.6466,0.7733,0.5837,0.7473,0.7315,0.6423,0.7771,0.5837,0.0003106504912297,0.0004693130217422,0.0002133247093142,0.000255988312428,153.6,32,5,1078.4,r-gdumb_sl24_st12_sp0_bu4000_re0.5_seed7
smd,vlstm,lwf,48,48,,,,,,1.0,2.0,MULTISEED,123,0.00026145397695777063,3.177099944290385e-05,-0.00026145397695777063,0.6967769784295905,0.6968888159654845,0.7658701384179963,5,10,10,0.7498,0.7362,0.6323,0.7659,0.5997,0.7499,0.7365,0.6331,0.7652,0.5997,0.0001308816045138,0.0001977284538057,8.987681672313355e-05,0.0001078516370826,64.7,33,5,64.7,r-lwf_sl48_st48_sp0_al1.0_te2.0_seed123
smd,vlstm,lwf,48,48,,,,,,1.0,2.0,MULTISEED,7,-0.00023418519521297698,-0.0005406960326060029,0.00023418519521297698,0.6972548059170647,0.6967835037578867,0.7675835374059037,5,10,10,0.7498,0.7366,0.6332,0.7676,0.5991,0.7497,0.7357,0.6332,0.7662,0.5991,0.0001342958155463,0.0002028864488573,9.22213727446635e-05,0.0001106650761126,66.4,33,5,991.3,r-lwf_sl48_st48_sp0_al1.0_te2.0_seed7
smd,vlstm,naive,48,48,,,,,,,,MULTISEED,123,0.00017432337666101194,9.642525947513025e-05,-0.00017432337666101194,0.6968287356271783,0.6967590255313353,0.7658306804138346,5,10,10,0.7498,0.7365,0.6319,0.7658,0.6,0.7499,0.7362,0.6332,0.7644,0.6,0.0001210447845773,0.0001828675479998,8.312181799879505e-05,9.974573000101371e-05,59.8,33,5,59.9,r-naive_sl48_st48_sp0_seed123
smd,vlstm,naive,48,48,,,,,,,,MULTISEED,7,-0.0004629417129454638,-0.0005483794082063786,0.0004629417129454638,0.6975388660651323,0.6967333005144253,0.7677932734569808,5,10,10,0.7498,0.7369,0.6334,0.7678,0.5997,0.7497,0.7356,0.6333,0.7654,0.5997,0.0001309565127805,0.0001978416209373,8.992827933980152e-05,0.0001079133415974,64.7,33,5,64.8,r-naive_sl48_st48_sp0_seed7
smd,vlstm,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,123,-0.021279336950888662,0.0005954907739140092,0.021279336950888662,0.7132989844953166,0.6970552142827757,0.7788771524081848,5,10,10,0.7497,0.7295,0.7082,0.7789,0.6003,0.7484,0.7435,0.6213,0.7717,0.6003,0.000279087539121,0.000421629516171,0.0001916502771401,0.0002299792390308,138.0,41,5,138.0,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed123
smd,vlstm,random-buffer,24,12,500.0,,,0.3,,,,MULTISEED,7,-0.02180597039510972,0.0015118047537365231,0.02180597039510972,0.713692586439341,0.6969260261294528,0.7791003811261991,5,10,10,0.7497,0.7311,0.7082,0.7791,0.6003,0.7482,0.7436,0.6212,0.7713,0.6003,0.0003333563925684,0.0005036158008123,0.0002289168702541,0.0002746989305581,164.8,43,5,288.2,r-random-buffer_sl24_st12_sp0_bu500_re0.3_seed7
