model,regime,run_id,n_concepts,fwt_lopez_paz
vtcn,cumulative,r-cumulative_sl8_st8,5,0.18448342506146825
vtcn-kl,cumulative,r-cumulative_sl10_st10,5,0.15835162402680927
vtcn-kl,cumulative,r-cumulative_sl12_st12,5,0.16350270676986692
vtcn-kl,cumulative,r-cumulative_sl12_st6,5,0.15854227325091078
vtcn-kl,cumulative,r-cumulative_sl16_st16,5,0.16790462888971303
vtcn-kl,cumulative,r-cumulative_sl24_st12,5,0.1628607521407274
vtcn-kl,cumulative,r-cumulative_sl48_st24,5,0.16340640752216293
vtcn-kl,cumulative,r-cumulative_sl48_st48,5,0.17180178278161487
vtcn-kl,cumulative,r-cumulative_sl6_st6,5,0.16716418468180333
vtcn-kl,cumulative,r-cumulative_sl8_st4,5,0.16613457718829322
vtcn-kl,cumulative,r-cumulative_sl8_st8,5,0.16526526591213822
gru,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.1584787606507661
gru,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.13858371100846922
gru,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.13101374891891263
gru,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.12995585771274007
gru,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.12824610940597644
gru,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.13065036026115098
gru,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.1400952068537649
gru,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.1349603588306215
gru,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.1120609333505087
gru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.11170515743130063
gru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.10299527626559929
gru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.1078855204239065
gru,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.11369657652499465
gru,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.11406826529961228
gru,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.11387750937639879
gru,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.14359597160951373
gru,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.13633165924655521
gru,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.1352747569913985
lstm,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.09920696798100187
lstm,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.0856252628760547
lstm,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.09118190937713999
lstm,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.06626151975777261
lstm,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.08873728164922812
lstm,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.07377371576269247
lstm,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.0793781631996951
lstm,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.08274960988048242
lstm,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.10426419029774925
lstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.09376114519630234
lstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.07277941979617747
