timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2026-04-21T01:19:56,yahoo-a1-tcn-strb,efa80aab-54e5-4b3c-b284-125f3351784b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,19.1854932080023,3.88035662194417e-05,2.0225472339307217e-06,5.0,0.0,6.0,2.664649791808592e-05,0,3.197571395973986e-05,5.862221187782577e-05,Poland,POL,mazovia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,21.0405,52.1991,16.0,machine,N,1.0
2026-04-21T13:12:09,yahoo-a1-tcn-strb,c4837644-457f-484c-8763-c6eb33ddc1c6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,18.915875250007957,3.825810611956078e-05,2.0225395660475553e-06,5.0,0.0,6.0,2.6272011284405988e-05,0,3.152615062426776e-05,5.779816190867375e-05,Poland,POL,mazovia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,21.0405,52.1991,16.0,machine,N,1.0
2026-05-01T22:40:06,yahoo-a1-tcn-strb,d09f3ce2-ae8b-420a-9000-dbc6931547f3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,17.174611791968346,3.473632238644156e-05,2.0225390132361474e-06,5.0,0.0,6.0,2.3853588135938883e-05,0,2.862406402826309e-05,5.2477652164201975e-05,Poland,POL,silesia,,,macOS-14.3.1-arm64-arm-64bit,3.11.4,2.8.2,8,Apple M1 Pro,,,19.1034,50.8047,16.0,machine,N,1.0
