dataset,model,regime,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
yahoo-a1,gru,naive,8,8,336,,,,,,,,MULTISEED,7,-0.12414564333052686,-0.060138885849086575,0.12414564333052687,0.71326952949556,0.645921664676411,0.8622463139635732,4,6,6,0.757,0.8448,0.6419,0.6094,0.4656,0.8441,0.6646,0.6094,7.245462276148447e-05,0.0001094603063809,4.9754836864950545e-05,5.9705469515950734e-05,35.8,56,4,35.8,r-naive_sl8_st8_sp336_seed7
yahoo-a1,gru,random-buffer,6,6,336,50.0,,,0.5,,,,MULTISEED,123,-0.10996688540181808,-0.05706360457977997,0.10996688540181808,0.764718676696051,0.6923896329216281,0.8777480995677447,4,6,6,0.838,0.8687,0.7652,0.587,0.5833,0.8634,0.7358,0.587,0.0001597196508162,0.0002412953272967,0.0001096799555577,0.000131615371739,79.0,79,4,79.0,r-random-buffer_sl6_st6_sp336_bu50_re0.5_seed123
yahoo-a1,gru,random-buffer,6,6,336,50.0,,,0.5,,,,MULTISEED,7,-0.11002801455424754,-0.05399773834709901,0.11002801455424754,0.7715005611419917,0.7098032645002982,0.8771643825523135,4,6,6,0.8238,0.8659,0.7758,0.6206,0.6098,0.8711,0.7378,0.6206,0.0001494955407134,0.0002258493256246,0.000102658991665,0.0001231903339596,73.9,77,4,73.9,r-random-buffer_sl6_st6_sp336_bu50_re0.5_seed7
yahoo-a1,gru,reservoir,24,24,336,50.0,,,0.5,,,,MULTISEED,123,-0.1393059926629651,-0.1130422766612193,0.1393059926629651,0.778254207202948,0.6928235478504424,0.9031914382047095,4,6,6,0.9012,0.8542,0.6275,0.7301,0.6075,0.8378,0.596,0.7301,0.0001425768240203,0.0002153969235538,9.79079332752412e-05,0.0001174889902786,70.5,108,4,70.5,r-reservoir_sl24_st24_sp336_bu50_re0.5_seed123
yahoo-a1,gru,reservoir,24,24,336,50.0,,,0.5,,,,MULTISEED,7,-0.2346657192504306,-0.15605468983131715,0.23466571925043064,0.7453785587191183,0.614681051662691,0.8940077723454933,4,6,6,0.8668,0.8548,0.5221,0.7377,0.3729,0.841,0.5071,0.7377,0.0001305641097268,0.0001972488008129,8.965878970144938e-05,0.0001075900111114,64.6,87,4,64.6,r-reservoir_sl24_st24_sp336_bu50_re0.5_seed7
yahoo-a1,gru,strb,6,6,336,250.0,0.05,0.9,0.5,,,,MULTISEED,123,-0.10962522676568315,-0.05521495829134054,0.10962522676568315,0.7528654289039625,0.6926129393373865,0.8777480995677447,4,6,6,0.838,0.8653,0.705,0.6032,0.5744,0.8606,0.7322,0.6032,0.0001174795649133,0.0001774814177314,8.067356238477967e-05,9.680785534670576e-05,58.1,58,4,58.1,r-strb_sl6_st6_sp336_bu250_no0.05_re0.9_re0.5_seed123
yahoo-a1,gru,strb,6,6,336,250.0,0.05,0.9,0.5,,,,MULTISEED,7,-0.13409329688748992,-0.08012798289043242,0.13409329688748992,0.7187211411450982,0.6540207610368567,0.880836157775813,4,6,6,0.8238,0.8735,0.5903,0.5873,0.4976,0.8808,0.6503,0.5873,0.0001293822230253,0.0001954632738786,8.884717332225086e-05,0.0001066161005563,64.0,67,4,64.0,r-strb_sl6_st6_sp336_bu250_no0.05_re0.9_re0.5_seed7
yahoo-a1,lstm,cumulative,12,6,336,,,,,,,,MULTISEED,123,-0.2522239083603622,-0.11411488431608041,0.2522239083603622,0.6945049053121476,0.5634371063384488,0.8465024887847883,4,6,6,0.7895,0.835,0.5183,0.6353,0.2781,0.8199,0.5205,0.6353,0.0003471525990718,0.0005244583217336,0.0002383907399321,0.0002860675818015,171.6,79,4,801.3,r-cumulative_sl12_st6_sp336_seed123
yahoo-a1,lstm,cumulative,12,6,336,,,,,,,,MULTISEED,7,-0.19939265083859906,-0.10906870263786862,0.19939265083859906,0.7010039438006401,0.6180311777372629,0.876541159801473,4,6,6,0.807,0.8413,0.5277,0.628,0.4139,0.8472,0.5831,0.628,0.0003959990056762,0.0005982526833456,0.0002719337096625,0.0003263189736831,195.8,94,4,195.8,r-cumulative_sl12_st6_sp336_seed7
yahoo-a1,lstm,derpp,6,6,336,50.0,,,0.5,,0.5,0.5,MULTISEED,123,-0.126353497381572,-0.0646859316347873,0.126353497381572,0.780592814456618,0.706827865772437,0.9011560590251901,4,6,6,0.8868,0.8685,0.7566,0.6104,0.609,0.8653,0.7426,0.6104,0.0001842540733607,0.0002783605317827,0.0001265278574072,0.0001518326743754,91.1,60,4,91.1,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5_seed123
