model,regime,run_id,n_concepts,fwt_lopez_paz
gru,cumulative,r-cumulative_sl10_st10_sp336,5,0.47814371840448083
gru,cumulative,r-cumulative_sl12_st12_sp168,10,0.4269648503491258
gru,cumulative,r-cumulative_sl12_st12_sp336,5,0.4449468677758355
gru,cumulative,r-cumulative_sl12_st6_sp336,5,0.47405097106918276
gru,cumulative,r-cumulative_sl16_st16_sp336,5,0.45486950362120177
gru,cumulative,r-cumulative_sl24_st12_sp336,5,0.38556536086756615
gru,cumulative,r-cumulative_sl24_st24_sp336,5,0.3782554932249619
gru,cumulative,r-cumulative_sl6_st6_sp336,5,0.4672138257050137
gru,cumulative,r-cumulative_sl8_st4_sp336,5,0.4820297473019496
gru,cumulative,r-cumulative_sl8_st8_sp336,5,0.47916971285225984
lstm,cumulative,r-cumulative_sl10_st10_sp336,5,0.47737959745145686
lstm,cumulative,r-cumulative_sl12_st12_sp168,10,0.4368125157342821
lstm,cumulative,r-cumulative_sl12_st12_sp336,5,0.4378875531976753
lstm,cumulative,r-cumulative_sl12_st6_sp336,5,0.47315944601156673
lstm,cumulative,r-cumulative_sl16_st16_sp336,5,0.46177822686563125
lstm,cumulative,r-cumulative_sl24_st12_sp336,5,0.39852550643181367
lstm,cumulative,r-cumulative_sl24_st24_sp336,5,0.3788368541260241
lstm,cumulative,r-cumulative_sl6_st6_sp336,5,0.46865860031392925
lstm,cumulative,r-cumulative_sl8_st4_sp336,5,0.4774587608859662
lstm,cumulative,r-cumulative_sl8_st8_sp336,5,0.47581797452924596
tcn,cumulative,r-cumulative_sl10_st10_sp336,5,0.47917248068169827
tcn,cumulative,r-cumulative_sl12_st12_sp168,10,0.4014819507855346
tcn,cumulative,r-cumulative_sl12_st12_sp336,5,0.4213814392980932
tcn,cumulative,r-cumulative_sl12_st6_sp336,5,0.4634503439948069
tcn,cumulative,r-cumulative_sl16_st16_sp336,5,0.42841220949477554
tcn,cumulative,r-cumulative_sl24_st12_sp336,5,0.35832830072124006
tcn,cumulative,r-cumulative_sl24_st24_sp336,5,0.3292930014985991
